sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
408,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
409,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
410,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
411,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
412,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
413,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
414,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
415,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
416,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
417,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
418,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
419,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
420,1,1,1,3,0,11,5,4,1,3,2,15,9,2,4
421,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
422,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
423,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
424,1,1,1,3,2,1,1,3,13,9,9,2,3,1,13
