sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
167,3,3,5,2,0,2,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,24,7,21,15,11
168,4,4,2,0,3,6,5,9,8,11,7,14,2,0,5,7,19,16,12,9,13,25,6,16,5,5
169,4,2,3,6,4,8,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,25,7,21,15,11
170,4,2,6,4,1,3,7,1,6,4,13,12,11,4,14,5,7,14,22,18,0,13,7,21,12,16
171,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,1,8,8,21,17,19,8,16,22,1,23
172,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
173,3,4,2,0,3,6,5,9,8,1,14,10,15,0,5,8,13,6,10,19,18,17,9,24,21,5
174,1,5,1,1,5,1,9,1,0,3,13,12,11,15,14,12,10,3,22,18,16,24,5,21,7,3
175,3,3,5,2,0,2,7,1,6,4,13,12,11,15,14,12,7,3,22,18,20,24,7,21,15,11
176,1,5,1,1,5,1,9,1,0,3,13,12,11,15,14,1,2,3,8,13,19,24,5,19,15,2
177,3,3,5,2,0,2,4,2,3,5,2,6,1,3,16,1,8,3,7,3,5,24,16,19,27,2
178,3,3,5,2,0,2,4,2,3,5,2,6,1,3,16,14,8,8,7,3,19,21,16,22,27,17
179,3,3,5,2,0,2,4,2,3,5,2,6,1,3,16,1,8,3,22,18,19,24,16,19,15,2
180,3,3,5,2,0,2,7,1,6,4,13,12,11,15,14,12,7,3,22,18,20,24,7,19,15,11
181,1,5,1,1,5,1,9,1,11,10,13,12,11,15,15,1,2,3,8,13,0,18,5,19,12,26
182,3,3,5,2,0,2,4,2,3,5,2,6,1,3,16,1,8,3,7,3,19,24,16,19,1,2
183,1,2,6,4,1,3,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
184,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
185,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
186,3,3,5,2,0,2,4,2,3,5,2,6,1,14,16,14,8,8,21,17,19,8,16,22,1,23
187,1,4,2,0,3,6,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
188,4,4,6,4,8,4,7,1,6,4,13,12,11,15,14,12,7,14,22,18,20,13,7,21,15,11
189,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,10,0,7,25,4,24,20,13
