k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
18,7,picture,14,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,61.49999999999999,-2.8995603152683804,47.49999999999999,-2.4914457968303134,61.49999999999999,-2.8995603152683804,-1.3663630414174517,-1.650592538596209
18,7,reading,14,0.8333333333333333,True,suppression,0.8333333333333333,50.166666666666664,True,45.83333333333333,-3.1658944317272733,45.83333333333333,-3.1658944317272733,60.83333333333333,-2.9109493834631786,-1.6780724662707196,-1.5912319648299516
18,8,audio,99,8.499999999999998,True,suppression,8.499999999999998,50.166666666666664,True,37.49999999999999,-1.1371933148063795,37.49999999999999,-1.1371933148063795,52.83333333333333,-0.8458900378941737,-0.2990649420484143,0.13253611506947047
18,8,picture,99,66.83333333333333,True,activation,,66.83333333333333,False,85.16666666666667,0.7990320535362557,32.49999999999999,-0.4651632435676275,85.16666666666667,0.7990320535362557,0.05191924024114395,0.360204057451855
18,8,reading,99,23.833333333333332,True,activation,23.833333333333332,50.166666666666664,True,77.83333333333333,1.0579034776210483,39.49999999999999,-0.6587366142093835,77.83333333333333,1.0579034776210483,-0.022772963539613354,0.32268155593967907
18,9,audio,74,58.49999999999999,True,activation,,58.49999999999999,False,76.83333333333333,2.2133032051292627,40.49999999999999,-0.49458141514175646,76.83333333333333,2.2133032051292627,0.6093273427566214,1.3283255365529771
18,9,picture,74,57.166666666666664,True,activation,,57.166666666666664,False,67.16666666666667,1.8052745405081156,48.83333333333333,-0.407215766363299,67.16666666666667,1.8052745405081156,0.4394917108351128,1.0503508904585466
18,9,reading,74,8.166666666666666,True,activation,8.166666666666666,50.166666666666664,True,71.83333333333333,1.1847283137408462,46.83333333333333,-1.1642297893712246,71.83333333333333,1.1847283137408462,-0.14284952163929643,0.31594373327339603
18,10,audio,38,2.1666666666666665,True,activation,2.1666666666666665,62.166666666666664,False,4.166666666666667,3.829627087241725,4.166666666666667,3.829627087241725,80.83333333333333,1.870960413625366,1.3321681887738313,0.9445731019853792
18,10,picture,38,64.16666666666667,True,activation,,64.16666666666667,False,84.5,2.089392042277675,29.833333333333332,-0.250086798553208,84.5,2.089392042277675,0.4986993893059666,1.0552665417453093
18,10,reading,38,66.16666666666667,True,activation,,66.16666666666667,False,84.83333333333333,2.108713909199363,36.166666666666664,-0.4810006504780368,84.83333333333333,2.108713909199363,0.3822720696341987,0.9078575085594368
18,11,audio,57,11.166666666666666,True,suppression,11.166666666666666,50.166666666666664,True,41.83333333333333,-1.848056669820819,41.83333333333333,-1.848056669820819,68.5,-1.470572735133924,-0.7889991112492682,-0.6275955732018372
18,11,picture,57,34.166666666666664,True,activation,34.166666666666664,50.166666666666664,True,79.5,0.9738712066768163,46.83333333333333,-0.790051326068351,79.5,0.9738712066768163,-0.18965760939213466,-0.010057919058278676
18,11,reading,57,6.166666666666667,True,suppression,6.166666666666667,50.166666666666664,True,52.49999999999999,-1.6522627648685062,42.49999999999999,-1.2801643317205864,52.49999999999999,-1.6522627648685062,-0.7604533997739016,-0.7470870326814986
18,12,audio,44,0.8333333333333333,True,activation,0.8333333333333333,51.83333333333333,False,75.16666666666667,2.4983578378503974,37.49999999999999,-1.7451206792823293,75.16666666666667,2.4983578378503974,-0.0038146230310788574,0.8940906746365891
18,12,picture,44,15.499999999999998,True,activation,15.499999999999998,50.166666666666664,True,78.5,2.2349853149869223,49.83333333333333,-1.0343328271886671,78.5,2.2349853149869223,0.025176644277036503,0.7099577383830292
18,12,reading,44,2.4999999999999996,True,activation,2.4999999999999996,50.166666666666664,True,77.5,3.051095889373259,33.49999999999999,-0.8951718690381809,77.5,3.051095889373259,0.3572909509822942,1.1548254149218897
18,13,audio,7,1.5,True,activation,1.5,51.166666666666664,False,4.166666666666667,3.084631370646613,4.166666666666667,3.084631370646613,59.166666666666664,2.100238655294691,0.7519922951033472,0.7723817426103744
18,13,picture,7,3.4999999999999996,True,activation,3.4999999999999996,50.166666666666664,True,17.5,6.107202121189663,17.5,6.107202121189663,51.83333333333333,3.1418541840144565,2.617808822621536,0.9013453321512568
18,13,reading,7,1.1666666666666667,True,activation,1.1666666666666667,50.166666666666664,True,4.833333333333333,4.955994776317051,4.833333333333333,4.955994776317051,86.83333333333333,-1.254410207271576,0.9086006558657115,-0.23762333949373673
