sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
268,3,3,1,4,0,3,8,1,10,3,13,6,13,2,11,9,19,14,20,21
269,3,3,1,4,0,3,8,1,10,3,13,6,13,2,11,9,13,14,20,21
270,3,3,1,4,0,3,8,1,10,3,13,6,13,2,11,9,13,14,20,21
271,1,1,4,1,4,8,0,8,0,3,9,1,2,2,11,2,2,14,20,21
272,3,3,1,4,0,3,8,1,10,3,9,6,13,2,11,9,19,14,20,21
273,3,3,1,4,0,3,8,7,6,8,13,6,13,2,11,13,13,14,20,21
274,3,3,1,4,0,3,8,7,6,8,13,6,13,7,10,13,13,5,9,8
275,1,1,4,1,4,8,9,1,2,3,4,12,4,2,11,9,19,14,20,21
276,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
277,1,1,4,1,4,8,0,8,2,1,9,5,9,16,1,16,9,0,12,17
278,3,3,1,4,0,3,8,7,6,3,13,6,13,2,11,13,13,14,20,21
279,1,1,4,2,4,2,0,1,10,3,9,5,9,2,4,9,19,14,12,21
280,3,3,1,4,0,3,1,1,10,3,9,6,13,2,11,9,19,14,20,21
281,2,2,5,0,1,7,3,4,5,2,8,4,8,4,3,8,8,8,11,12
282,2,2,5,0,6,7,3,5,8,7,8,7,8,4,3,8,8,13,11,12
283,2,2,5,3,2,6,7,9,7,9,6,0,15,9,17,15,15,7,8,7
284,2,2,5,3,1,6,4,9,7,9,6,0,15,9,17,15,15,7,15,7
285,2,2,5,3,1,6,4,9,7,5,6,0,6,9,17,6,6,8,15,7
286,2,2,5,0,2,1,7,5,8,9,2,0,15,9,17,15,15,7,8,7
287,0,0,2,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,21,18
288,1,1,4,2,5,2,1,1,4,3,0,14,14,2,2,14,19,2,17,0
289,1,1,4,2,5,2,1,1,4,3,0,14,14,2,2,14,19,2,17,0
290,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,7
291,2,1,4,1,2,8,7,6,2,9,2,0,15,9,17,15,15,7,8,7
292,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,20,16,17
293,1,1,3,0,6,1,9,5,2,12,12,7,15,0,1,15,15,20,14,19
294,1,1,4,2,4,8,9,6,2,12,4,12,4,8,7,4,17,20,3,11
295,1,1,4,1,4,8,9,6,2,12,2,12,10,0,7,4,17,20,3,11
296,1,1,4,1,4,8,9,8,2,12,9,1,15,0,1,2,2,10,8,19
297,2,1,4,1,2,6,7,8,0,9,2,0,15,14,17,15,15,7,8,7
298,2,2,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,8,19
299,1,1,4,1,2,8,7,6,1,9,2,1,2,0,7,2,2,7,8,19
300,1,1,4,1,2,8,7,6,1,9,2,1,2,0,17,2,2,7,8,19
301,1,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,6,19
302,1,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,6,3
303,2,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,6,3
304,1,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,15,11,1,19
305,2,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,6,3
306,1,1,0,5,7,0,2,2,1,0,0,10,11,13,2,11,11,1,1,6
307,1,1,0,1,2,0,7,2,1,0,0,0,15,9,2,15,15,1,1,19
308,1,1,4,2,2,0,7,2,1,9,0,14,15,9,2,15,15,1,1,19
309,1,1,4,2,2,0,7,6,1,9,0,0,15,9,2,15,15,1,1,19
310,2,2,5,3,2,6,7,9,7,9,0,0,15,9,17,15,15,1,1,19
311,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
312,2,2,5,3,2,6,7,9,7,9,6,0,15,14,17,15,15,7,4,7
313,2,2,5,3,2,6,7,9,7,9,6,0,15,14,17,17,17,7,4,7
314,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
315,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
316,2,2,5,3,2,6,7,9,7,9,6,0,6,14,17,6,6,7,15,7
317,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,7
318,2,1,0,1,2,0,7,8,0,9,2,0,2,14,17,2,2,1,4,7
319,2,2,5,3,2,6,4,9,7,5,6,0,6,14,17,6,6,1,15,7
320,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
321,2,2,5,3,1,6,4,9,7,5,6,13,6,15,9,6,6,8,15,5
322,1,1,0,5,7,0,2,2,9,0,11,10,11,13,0,11,11,17,5,6
323,3,3,0,5,7,0,2,2,9,0,11,10,11,13,0,11,11,17,5,6
324,3,3,0,5,7,0,2,2,9,0,11,10,11,13,0,11,11,17,5,6
