sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
454,7,8,9,10,10,11,12,12,12,13,14
455,7,8,9,10,10,11,12,12,12,13,14
456,8,9,10,11,11,12,13,14,14,15,16
457,8,9,10,11,11,12,13,14,14,15,16
458,8,9,10,11,11,12,13,14,14,15,16
459,8,9,10,11,11,12,13,14,14,15,16
460,8,9,10,11,11,12,13,14,14,15,16
461,8,9,10,11,11,12,13,14,14,15,16
462,8,9,10,11,11,12,13,14,14,15,16
463,8,9,10,11,11,12,13,14,14,15,16
464,8,9,10,11,11,12,13,14,14,15,16
465,3,3,3,4,4,4,4,4,4,4,5
466,7,8,9,10,10,11,12,12,12,13,14
467,8,9,10,11,11,12,13,14,14,15,16
468,9,10,11,12,12,13,14,15,16,17,18
469,7,8,9,10,10,11,12,12,12,13,14
470,7,8,9,10,10,11,12,12,12,13,14
471,7,8,9,10,10,11,12,12,12,13,14
472,7,8,9,10,10,11,12,12,12,13,14
473,7,8,9,10,10,11,12,12,12,13,14
474,7,8,9,10,10,11,12,12,12,13,14
475,7,8,9,10,10,11,12,12,12,13,14
476,7,8,9,10,10,11,12,12,12,13,14
477,7,8,9,10,10,11,12,12,12,13,14
478,7,8,9,10,10,11,12,12,12,13,14
479,7,8,9,10,10,11,12,12,12,13,14
480,7,8,9,10,10,11,12,12,12,13,14
481,7,8,9,10,10,11,12,12,12,13,14
482,3,3,3,4,4,4,4,4,4,4,5
483,8,9,10,11,11,12,13,13,13,14,15
484,0,0,0,0,0,0,0,0,0,0,0
485,8,9,10,11,11,12,13,14,14,15,16
486,8,9,10,11,11,12,13,13,13,14,15
487,8,9,10,11,11,12,13,13,13,14,15
488,8,9,10,11,11,12,13,14,14,15,16
489,3,3,4,5,5,5,5,5,5,6,7
490,7,8,9,10,10,11,12,12,12,13,14
491,7,8,9,10,10,11,12,12,12,13,14
492,7,8,9,10,10,11,12,12,12,13,14
493,7,8,9,10,10,11,12,12,12,13,14
494,7,8,9,10,10,11,12,12,12,13,14
