sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
427,3,5,10,1,4,4,4,0,4,15,7
428,5,7,3,10,1,1,6,7,6,3,11
429,5,7,3,5,9,14,6,7,6,3,11
430,5,7,3,5,9,14,6,7,6,3,11
431,5,7,3,5,9,14,6,7,6,3,11
432,5,7,3,5,9,14,6,7,6,3,11
433,3,5,10,1,4,4,5,11,4,15,7
434,3,5,10,1,4,4,4,0,4,15,7
435,3,5,10,1,4,4,5,11,4,15,7
436,3,5,10,1,4,4,5,11,4,15,7
437,3,5,10,1,4,4,5,11,4,15,7
438,3,5,10,1,4,4,5,11,4,15,7
439,3,5,10,1,4,4,5,11,4,15,7
440,3,5,10,1,3,4,5,11,4,15,7
441,7,6,11,0,10,11,13,1,2,12,19
442,3,5,10,1,4,4,5,11,4,15,7
443,3,5,10,1,4,4,5,11,4,15,7
444,3,5,10,1,4,4,5,11,4,15,7
445,3,5,10,1,4,4,4,0,4,15,16
446,3,5,10,1,4,4,5,11,4,15,7
447,3,5,10,1,4,4,5,11,4,15,7
448,3,5,10,1,4,4,5,11,4,15,7
449,3,5,10,1,4,4,5,11,4,15,7
450,3,5,10,1,4,4,5,11,4,15,7
451,3,5,10,1,4,4,4,0,4,15,7
452,3,5,10,1,4,4,4,0,4,15,7
453,3,5,10,1,4,13,4,0,11,15,16
454,3,5,10,1,4,13,4,0,11,15,16
455,0,0,2,8,13,13,4,0,11,15,16
456,3,5,10,1,4,13,4,0,11,15,16
457,3,5,10,1,4,4,4,0,4,15,7
458,3,5,10,1,4,4,4,0,4,15,7
459,3,5,10,1,4,13,4,0,4,15,16
460,3,5,10,1,4,4,5,11,4,15,7
461,3,5,10,1,4,4,5,11,4,15,7
462,3,5,10,1,4,4,5,11,4,15,7
463,3,5,10,1,4,4,5,11,4,15,7
464,3,5,10,1,4,4,4,0,4,15,7
465,3,5,10,1,4,4,4,0,4,15,16
466,3,5,10,1,4,4,4,0,4,15,7
467,3,5,10,1,4,4,4,0,4,15,7
468,3,5,10,1,4,4,5,11,4,15,7
469,3,5,10,1,4,4,5,11,4,15,7
470,2,8,0,3,7,2,12,3,7,2,1
471,2,8,0,3,7,2,12,3,7,2,1
472,2,8,0,3,7,2,12,3,7,2,1
473,4,2,6,9,7,2,2,3,3,8,4
474,4,2,6,9,7,2,2,3,3,8,4
475,2,8,0,3,7,2,12,3,7,2,1
476,2,10,0,3,12,2,9,3,7,8,15
477,2,8,0,3,7,2,12,3,7,2,1
478,3,5,10,1,4,4,5,11,4,15,7
479,3,5,10,1,4,4,4,0,4,15,7
480,3,5,10,1,4,4,4,0,4,15,7
481,3,5,10,1,4,13,4,0,11,15,16
482,3,5,3,1,4,13,4,0,11,3,16
483,5,7,3,5,9,14,6,7,6,3,11
484,5,7,3,5,9,14,6,7,6,3,11
485,3,5,10,1,4,4,5,7,6,15,11
486,2,8,0,3,12,9,12,12,7,15,1
487,3,5,10,1,4,4,5,11,4,15,7
488,3,5,10,1,4,4,5,11,4,15,7
489,3,5,10,1,5,0,0,4,4,15,3
490,3,5,10,1,4,4,5,11,4,15,7
