k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,7
0,0,0,0,7,7,7,4,7,7,7,7,7,0,7,10,7,7,10,4,4,4,7,7,4,0
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,0
1,1,1,6,1,1,10,4,2,5,10,10,7,7,15,7,20,20,20,20,20,20,10,4,20,29
1,1,1,6,1,1,10,4,4,5,10,15,8,7,15,7,20,20,1,20,15,10,10,4,10,29
1,1,1,6,1,1,10,4,4,5,10,15,7,7,15,7,20,20,20,20,20,20,10,4,20,29
0,0,0,0,7,7,7,4,7,7,7,7,0,0,0,10,0,0,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,4,7,5,7,7,7,7,7,7,7,7,10,20,20,4,7,7,7,29
0,0,0,0,7,7,7,4,2,5,8,8,7,7,15,7,20,20,20,20,20,20,25,4,20,20
0,0,0,0,6,7,7,5,2,5,7,10,7,7,15,7,20,20,20,20,20,20,20,4,20,20
0,0,0,0,7,7,7,4,7,7,7,7,7,0,7,10,7,7,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,4,7,7,7,7,7,0,7,10,7,7,7,7,4,7,7,7,7,20
4,0,0,0,7,7,7,4,7,9,7,7,0,0,0,10,3,21,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,4,4,10,7,15,7,10,10,10,15,15,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,4,7,5,7,7,7,0,7,10,7,7,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,5,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,5,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,4,7,5,7,7,7,7,15,7,20,20,7,20,20,20,7,4,20,7
0,0,0,0,7,7,7,4,2,5,7,10,7,7,15,7,20,20,20,20,20,20,7,4,20,20
0,0,0,0,7,7,7,4,7,7,7,7,7,0,7,10,7,7,10,4,4,4,7,7,4,0
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
2,5,5,5,5,8,5,8,8,8,8,8,16,16,8,8,8,8,8,4,4,8,10,26,4,8
2,5,5,5,5,7,7,4,8,5,8,8,16,7,15,10,20,20,10,4,4,4,4,4,4,0
0,0,0,0,7,7,7,4,4,5,7,15,7,7,15,10,20,20,10,4,4,4,4,4,4,0
0,0,0,0,7,7,7,4,7,5,7,7,7,7,7,7,7,7,7,20,20,18,7,7,7,7
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,0
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,0
4,5,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,5,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,5,6,7,0,5,0,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
4,0,6,1,8,9,9,9,9,9,9,9,9,9,18,18,18,18,22,22,22,22,22,22,18,18
