sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
208,2,5,5,2,0,5,3,0,8,3,9,13,1,17,0,19,8,4,3,5,22,6,5,21,19,18
209,3,1,2,1,2,4,6,10,11,7,11,0,3,10,8,0,14,15,9,2,18,3,13,9,14,2
210,3,1,2,1,2,4,6,10,11,7,11,0,3,10,13,0,0,15,9,20,18,9,13,8,1,2
211,0,2,6,4,8,3,4,4,5,8,3,3,2,4,17,6,17,16,4,4,18,5,3,3,3,0
212,3,1,2,1,2,1,10,1,11,4,14,8,12,10,0,14,4,13,9,7,16,4,11,17,6,1
213,3,1,2,1,2,4,10,10,11,7,14,2,9,9,1,10,9,21,9,1,0,9,1,9,6,17
214,3,1,2,1,2,1,10,1,11,4,14,2,9,9,1,10,16,21,9,1,0,9,1,9,18,17
215,3,1,2,1,2,4,6,8,11,7,11,0,8,10,8,11,14,15,9,20,18,14,13,12,14,2
216,2,5,4,5,3,6,1,5,7,5,0,9,5,1,2,19,11,17,11,3,12,18,4,6,19,1
217,2,5,4,5,3,7,1,5,7,5,0,9,5,1,2,19,1,17,15,3,17,23,4,9,19,1
218,4,3,1,7,1,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
219,0,2,6,4,8,3,4,2,5,8,3,3,2,4,17,6,17,16,13,4,1,5,3,3,3,0
220,4,3,1,7,1,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
221,4,3,1,7,6,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
222,4,3,1,7,1,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
223,4,3,1,7,5,0,2,11,8,12,13,13,7,8,2,19,1,4,3,5,22,6,5,21,19,23
224,2,5,5,3,0,5,3,0,2,11,9,15,1,17,10,15,5,11,18,8,10,10,18,24,20,18
225,2,5,5,3,5,5,2,5,2,11,0,15,1,17,2,15,5,11,18,8,10,10,9,24,20,18
226,2,5,5,3,0,5,3,6,2,11,9,15,1,17,10,15,5,11,18,8,10,10,18,0,20,18
227,1,5,5,5,0,2,3,0,0,3,11,11,3,10,13,0,2,2,14,2,15,0,0,12,24,28
228,2,5,4,2,0,2,3,0,0,3,11,11,3,10,13,0,2,2,14,2,15,0,0,12,24,28
229,1,4,5,3,0,5,3,8,2,11,9,0,1,17,10,15,5,18,18,9,10,10,24,0,16,18
230,1,4,5,5,5,1,10,1,6,4,14,8,12,2,15,0,2,2,0,1,0,21,9,9,18,18
231,1,5,5,2,0,6,9,0,0,3,8,11,1,17,2,0,5,11,18,5,10,6,5,21,19,23
232,1,5,5,3,0,5,3,0,0,3,9,14,1,17,4,0,5,2,18,5,10,10,5,21,10,18
233,0,2,6,4,3,7,4,5,9,0,8,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
234,2,0,4,2,1,6,9,1,9,11,8,1,16,11,14,10,4,21,10,18,7,12,6,15,12,24
235,2,0,0,0,1,1,10,1,9,4,14,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
236,2,0,0,0,1,1,10,1,9,4,14,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
237,2,0,0,0,4,1,10,1,9,4,14,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
238,3,1,2,5,2,1,10,1,7,5,14,9,12,2,1,14,8,17,0,3,19,18,12,17,6,24
239,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,7,11,9,12,17,6,24
240,4,3,1,7,3,6,9,6,8,12,0,13,7,1,2,19,1,4,3,18,22,6,6,27,19,20
241,4,5,4,2,3,7,9,5,7,5,8,9,16,1,2,19,1,21,10,18,19,12,6,27,12,20
242,4,3,1,7,3,7,1,5,9,0,0,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
243,2,0,0,0,4,7,10,3,9,4,5,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
244,2,0,0,0,4,7,10,3,9,4,14,1,16,11,14,10,16,21,10,18,7,12,6,15,12,17
245,1,4,0,0,3,7,9,5,9,11,5,1,16,1,14,19,1,21,10,18,7,12,6,15,12,20
246,1,4,4,5,3,7,1,5,9,5,8,1,16,10,13,0,4,2,14,2,15,0,0,12,24,20
